Num	Catégorie	Intitulé	Langue	Durée	Prix	Lien Mega	Premier Lien Mega
88	Informatique programmation	Hacking Éthique avec kali linux		01:00 min	0 Fcfa	OUI	https://mega.nz/embed/IcJThLyS#99-IOxRnIU_KIIaH2_dwxPdtS0tZO2zz6dpsxH2_sSQ!1a
89	Informatique programmation	Formation complète css 3 (par la pratique) (2023)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/UIRSGbKK#rXMfcNCXyYHb0aHuUq0YT_hGf6Eg5VXbKklOt-QJH1Y!1a
90	Informatique programmation	Developpez vos applications avec c# !(2025)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/FEBR3TqL#vZRBQIMAEFxbnCQTRsiVc2xS76qSZS2m2c3BH0OIup0!1a
91	Informatique programmation	Créez votre site wordpress de a a z - debutants (2024)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/hIADQYhJ#5JCV4BBls3oT4uh-zfRcz_Fa8XHGQcUDw43l9f7ZFHE!1a
92	Informatique programmation	Apprentissage par renforcement avec python partie 02		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/VQp1yQ7J#G27Igzz3dnJIYN9GuxUwZGqn23S-kwzX4VJyH5M-Wiw!1a
93	Informatique programmation	Apprentissage par renforcement avec python partie 01	Français	03:00 min	0 Fcfa	OUI	https://mega.nz/embed/UYIRyRBD#Xl7Lx5K0-sWBZEo_kW5Jvt0zH2dI0lHbg4cHWEtPiY8!1a
94	Informatique programmation	Apprendre à programmer en python et réaliser 4 projets réels		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/dJ430JQI#jLj79pllA2yrc6m1D3_20LK_Ya1V5YfYY8Q3byrhbq0!1a
95	Informatique programmation	Apprendre symfony 7 par la création d'un site e-commerce 2024 web 720p x264	Français	03:00 min	0 Fcfa	OUI	https://mega.nz/embed/4UgmVD4L#EnHyow6bcjuQS_cWYCDZ5J_huiXO55qBieLas5ofP-0!1a
96	Informatique programmation	Apprendre airtable les fondamentaux		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/4ZAUQRQI#pufwVfE6pA-iNvD71bGS9TVjCq1LZkJV2jI0geT2tRs!1a
97	Pedagogie	Les fondements de la méthode scrum		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/ZRQCiBRD#TBplOJ4-OldSae-MsJpdauIti8zzDCZ7PKG1-ngZYrg!1a
98	Monnaie virtuelle	Méthode alpha devenez un trader autonome dès aujourd'hui !		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/1dAVjJQC#2n34GdA8apDAzW-lNQBFVuuHC_nS8wrFYxducTqhs2A!1a
99	Monnaie virtuelle	La bible en trading guide complet analyse graphique trading		01:00 min	0 Fcfa	OUI	https://mega.nz/embed/IVQBVLiS#ZYH1BomI2j2r989c_U3DqGPeWkstPo9yFEhnqa18qlA!1a
100	Monnaie virtuelle	Crypto expert (2023)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/AEInkJoS#fPH7_JzVJf361xrOzgdxUFg3BRH-PBp9pefcSgrwhTw!1a
101	Monnaie virtuelle	Complet - toutes les bases pour commencer le trading	Français	03:00 min	0 Fcfa	OUI	https://mega.nz/embed/ZE4FzLjR#GmaaO6m7aeEUoLrMsHIp225lSFnoLf6hXSWCLCNzO4s!1a
102	Microsoft	Tout savoir sur power bi : formation complete tous niveaux		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/8JxTiJKA#VAswieIzY5zM6ZMOAwVY7EiS-_y-3ISzfJ7VtmzDtwY!1a
103	Microsoft	Ms excel_ maîtriser toutes les formules excel		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/cRxEWZyY#9cK-KHBB34ShbOi8nPs4KpmB63X40bHYS9OXVWs8nF4!1a
104	Microsoft	Microsoft 365 : gestion des identités et de la mobilité		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/EVI2kYwB#0tFZo0kr0LqMgNrNI4P5v3VXnr3NN8HEOxRq3vS8ENk!1a
105	Microsoft	Microsoft 365 automatiser vos taches avec la robot process automation rpa		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/hRg2gQ7b#Hybh6SAgzceSKSOokKtrK3GTkHuvBjuv_MWpqyPNbc4!1a
106	Microsoft	Maîtrisez excel 365 - edition 2024		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/pUZlFS5D#emxCdCTfo5D1Xqii96muOXdOB_4VejksfrMcGA1fEBg!1a
107	Microsoft	Maîtriser les bases d'excel : 8 exercices corrigés		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/9EpgRYaA#iynOqtiN7Pn4s8yJwbzi_T_UByTBPuwX5KqLhF9Nt28!1a
108	Microsoft	L’essentiel de word (microsoft 365)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/wJI0XaDb#VWqFDn9j3G2RK6fCsfAQiHPA2ypVdvsfZx1s9Hz97Yo!1a
109	Microsoft	L'essentiel d'excel (microsoft 365)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/pQ5WAL7S#BTqeWaG1-3835d8zXtYzqAmOpGBvUunFobm7CIXpitU!1a
110	Microsoft	Les tableaux croisés dynamiques : 9 exercices et corrigés		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/VAhGHS6Y#Hh8XWxl0SdrkMnHajZKtxepiB0humIxXqMyHOT7E_iQ!1a
111	Microsoft	L'essentiel de word (365-2024)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/4MBFFbQC#SzgxlU6LWGgcFZrIC8nQ9mpOdYQYeVhWW9y4vcBBI8g!1a
112	Microsoft	L'essentiel de sharepoint online		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/5VhEGLBA#sE4_JMXUIyLYwNCn2xt4NK85Lx5-oCNfcmOEnk9s9iM!1a
113	Microsoft	L'essentiel de powerpoint (microsoft 365)	Français	03:00 min	0 Fcfa	OUI	https://mega.nz/embed/URoXFYYa#le1YEDfBQzj72u52Aoc1lDO7SB5rgkuPcz1Ji-efarg!1a
114	Microsoft	L'essentiel de powerpoint (365-2024)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/1U5HSToa#0eH7UPKGEgovlvjyEla8CeheOXQiKdySFo0izKolZrM!1a
115	Microsoft	L'essentiel de microsoft fabric		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/pc5FTJaK#OpiicrjSrt285upMYfqi3k_X1G0tNClLONVodnLFHBM!1a
116	Microsoft	L'essentiel d'outlook (microsoft 365)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/BcxhzDCI#3Fz9MgKvJq-t8E30CUpH1v_GjWJempez7lzBw4WdzlQ!1a
117	Microsoft	L'essentiel d'excel 2024		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/cAJWkLSI#qQps831P33rjHYqbnqq9NQMygSsAYWU9b95xTpiCnms!1a
118	Microsoft	Excel 2022		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/FJxVjDSK#PGOvWfalM6uagoGxqUQ4LAyg9OSaxAd7ulLc2we-o-c!1a
119	Microsoft	Excel le vba pour les débutants		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/RF5EmJSD#R58o7CQevQHFSJ-wt6haK-hZvw7dX6ltxOTpPzQDX5U!1a
120	Microsoft	Excel : le vba avancé		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/dZYlxRgY#mz24KM10I09KOvr5rZpMQkJ3f5qqwd8G2Q2cvKNvLH8!1a
121	Microsoft	Excel : faire de l'analyse avec python		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/gIQQCA4A#NXJlf04VwSScPPvY_ciyxDuH7OKpNoXG9GyhXAHzROI!1a
122	Microsoft	Excel analyse, gestion et validation de données		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/kJ5zFB4S#2uQY8aMI2mcJrCtJ-DR4Jgiqmgv7-yw1viThVJ3MFKc!1a
123	Microsoft	Découvrir office 2024 outlook, word, powerpoint et excel		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/dAonySQR#zO9sPPczMWHRav23iKOk6x8TmFK4yP2ZgbL69AaKJqM!1a
124	Microsoft	Devenir un pro avec excel : formules et fonctions avancées		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/xIRyiK6A#_W4MsBxkm9NY4Z6MURVPs9SGL57Q8M5ynxzpcyzhpJA!1a
125	Microsoft	Data analyse avec excel : devenir un expert		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/oERm3Y7R#TXlSmky5kq_8J-CqpyoCxcWNLJ7A3glQsjtt-jgUYlw!1a
126	Microsoft	Combiner chatgpt et excel - optimiser votre temps avec l'ia		03:00 min	0 Fcfa	NON	
